facility_pfi,facility_name,facility_network,staffed_acute_care_beds,staffed_icu_beds,free_ward_beds,free_icu_beds,baseline_ward_occupancy,baseline_icu_occupancy,system_label,routed_ward_admissions,routed_icu_admissions,peak_ward_census,peak_icu_census,days_ward_at_capacity,days_icu_at_capacity
1469,MOUNT SINAI: MORNINGSIDE (1469),MOUNT SINAI HEALTH SYSTEM,333,39,67.26599999999999,8.033999999999999,0.798,0.794,MOUNT SINAI HEALTH SYSTEM,806.2078735767216,91.12931573365374,67.26599999999999,8.033999999999999,21,99
1286,BROOKDALE HOSPITAL MEDICAL CENTER (1286),ONE BROOKLYN HEALTH,311,33,62.82199999999999,6.797999999999998,0.798,0.794,ONE BROOKLYN HEALTH,800.6471840551691,80.56627395640436,62.822,6.798000000000002,36,116
1176,SBH HEALTH SYSTEM (1176),SBH HEALTH,311,16,62.82199999999999,3.2959999999999994,0.798,0.794,SBH HEALTH,767.4155845177149,39.79556340743385,62.822,3.2959999999999994,28,119
1738,RICHMOND UNIVERSITY MC (1738),INDEPENDENT,311,33,62.82199999999999,6.797999999999998,0.798,0.794,RICHMOND UNIVERSITY MC (1738),742.6635713293971,77.15852914338154,62.822,6.798000000000002,21,99
1168,MONTEFIORE MC: WAKEFIELD HOSPITAL (1168),MONTEFIORE HEALTH SYSTEM,292,16,58.98399999999999,3.2959999999999994,0.798,0.794,MONTEFIORE HEALTH SYSTEM,675.0374053546013,37.25333426647434,58.98400000000001,3.2959999999999994,21,99
1692,WOODHULL MEDICAL & MENTAL HEALTH (1692),NYC H+H,247,21,49.89399999999999,4.325999999999999,0.798,0.794,NYC H+H,629.2994068669051,51.34680331340491,49.894000000000005,4.3260000000000005,36,116
1633,QUEENS HOSPITAL CENTER (1633),NYC H+H,244,16,49.28799999999999,3.2959999999999994,0.798,0.794,NYC H+H,624.3133152243815,40.30863282414359,49.28800000000001,3.296,36,119
1320,UNIVERSITY: SUNY DOWNSTATE (1320),SUNY DOWNSTATE,223,26,45.04599999999999,5.355999999999999,0.798,0.794,SUNY DOWNSTATE,560.0279407387312,61.71037153473309,45.04599999999999,5.356000000000002,36,115
1638,LONG ISLAND JEWISH: FOREST HILLS (1638),NORTHWELL HEALTH,227,18,45.85399999999999,3.7079999999999993,0.798,0.794,NORTHWELL HEALTH,559.479003760924,42.70226334923299,45.85400000000001,3.708000000000002,28,116
1635,ST. JOHN'S EPISCOPAL: SOUTH SHORE (1635),INDEPENDENT,220,16,44.43999999999999,3.2959999999999994,0.798,0.794,ST. JOHN'S EPISCOPAL: SOUTH SHORE (1635),532.7747032640675,38.103041115864244,44.44,3.2959999999999994,28,116
1454,METROPOLITAN HOSPITAL CENTER (1454),NYC H+H,217,10,43.83399999999999,2.0599999999999996,0.798,0.794,NYC H+H,515.6143835188713,24.286296678910926,43.834,2.0599999999999996,28,118
1445,HARLEM HOSPITAL CENTER (1445),NYC H+H,205,0,41.40999999999999,0.0,0.798,0.794,NYC H+H,490.7018173297293,0.0,41.41,0.0,21,0
1628,FLUSHING HOSPITAL MEDICAL CENTER (1628),MEDISYS HEALTH NETWORK,184,20,37.16799999999999,4.119999999999999,0.798,0.794,MEDISYS HEALTH NETWORK,486.39362414770073,50.35751690785413,37.168000000000006,4.119999999999999,36,119
1324,MOUNT SINAI: BROOKLYN (1324),MOUNT SINAI HEALTH SYSTEM,189,21,38.17799999999999,4.325999999999999,0.798,0.794,MOUNT SINAI HEALTH SYSTEM,472.2807842585899,50.135491191214584,38.178,4.3260000000000005,28,116
1288,BROOKLYN CENTER DOWNTOWN (1288),INDEPENDENT,181,17,36.56199999999999,3.5019999999999993,0.798,0.794,BROOKLYN CENTER DOWNTOWN (1288),460.7184488495653,41.22351965868522,36.56200000000001,3.5020000000000024,36,116
1186,NORTH CENTRAL BRONX HOSPITAL (1186),NYC H+H,202,44,40.80399999999999,9.063999999999998,0.798,0.794,NYC H+H,455.1506053595038,97.21247267025191,40.80399999999999,9.064,21,99
3975,NYP: ALLEN HOSPITAL (3975),NEW YORK - PRESBYTERIAN,178,10,35.95599999999999,2.0599999999999996,0.798,0.794,NEW YORK - PRESBYTERIAN,453.5693113794522,25.37894777315909,35.95599999999999,2.0599999999999996,28,119
