facility_pfi,facility_name,facility_network,staffed_acute_care_beds,staffed_icu_beds,free_ward_beds,free_icu_beds,baseline_ward_occupancy,baseline_icu_occupancy,system_label,routed_ward_admissions,routed_icu_admissions,peak_ward_census,peak_icu_census,days_ward_at_capacity,days_icu_at_capacity
1692,WOODHULL MEDICAL & MENTAL HEALTH (1692),NYC H+H,247,21,49.89399999999999,4.325999999999999,0.798,0.794,NYC H+H,1056.6687771523775,91.50644695661964,45.49252165815126,4.325999999999999,0,10
1168,MONTEFIORE MC: WAKEFIELD HOSPITAL (1168),MONTEFIORE HEALTH SYSTEM,292,16,58.98399999999999,3.2959999999999994,0.798,0.794,MONTEFIORE HEALTH SYSTEM,1014.1613368376997,63.11547394825607,55.89060649028936,3.159369349173806,0,0
1320,UNIVERSITY: SUNY DOWNSTATE (1320),SUNY DOWNSTATE,223,26,45.04599999999999,5.355999999999999,0.798,0.794,SUNY DOWNSTATE,934.8770795767479,107.87152804112961,41.38255059602393,5.356,0,6
1638,LONG ISLAND JEWISH: FOREST HILLS (1638),NORTHWELL HEALTH,227,18,45.85399999999999,3.7079999999999993,0.798,0.794,NORTHWELL HEALTH,914.1298578974989,75.39688164726995,43.19784253558549,3.708,0,10
1635,ST. JOHN'S EPISCOPAL: SOUTH SHORE (1635),INDEPENDENT,220,16,44.43999999999999,3.2959999999999994,0.798,0.794,ST. JOHN'S EPISCOPAL: SOUTH SHORE (1635),882.305959044735,67.3776590698209,41.72761877848935,3.2959999999999994,0,6
1628,FLUSHING HOSPITAL MEDICAL CENTER (1628),MEDISYS HEALTH NETWORK,184,20,37.16799999999999,4.119999999999999,0.798,0.794,MEDISYS HEALTH NETWORK,844.8971060452427,90.339884639097,37.16799999999999,4.119999999999999,3,15
1454,METROPOLITAN HOSPITAL CENTER (1454),NYC H+H,217,10,43.83399999999999,2.0599999999999996,0.798,0.794,NYC H+H,828.3271751171167,42.9546559840982,40.80479016777859,2.0599999999999996,0,10
1445,HARLEM HOSPITAL CENTER (1445),NYC H+H,205,0,41.40999999999999,0.0,0.798,0.794,NYC H+H,787.6104101489618,0.0,37.6709385456578,0.0,0,0
1324,MOUNT SINAI: BROOKLYN (1324),MOUNT SINAI HEALTH SYSTEM,189,21,38.17799999999999,4.325999999999999,0.798,0.794,MOUNT SINAI HEALTH SYSTEM,777.8926216344378,88.41237983960718,35.57603101514773,4.325999999999999,0,10
1288,BROOKLYN CENTER DOWNTOWN (1288),INDEPENDENT,181,17,36.56199999999999,3.5019999999999993,0.798,0.794,BROOKLYN CENTER DOWNTOWN (1288),773.1946198304255,73.22317173825427,33.21574456635047,3.502,0,6
3975,NYP: ALLEN HOSPITAL (3975),NEW YORK - PRESBYTERIAN,178,10,35.95599999999999,2.0599999999999996,0.798,0.794,NEW YORK - PRESBYTERIAN,761.0711067021638,45.48365518170029,32.39143191189388,2.0599999999999996,0,15
1318,WYCKOFF HEIGHTS MC (1318),INDEPENDENT,168,16,33.93599999999999,3.2959999999999994,0.798,0.794,WYCKOFF HEIGHTS MC (1318),726.0022151971002,69.48338370033262,30.69492521650823,3.2959999999999994,0,10
1309,INTERFAITH MEDICAL CENTER (1309),ONE BROOKLYN HEALTH,161,25,32.52199999999999,5.149999999999999,0.798,0.794,ONE BROOKLYN HEALTH,703.3135572536978,104.95177694292911,30.777749754951454,5.149999999999999,0,6
1186,NORTH CENTRAL BRONX HOSPITAL (1186),NYC H+H,202,44,40.80399999999999,9.063999999999998,0.798,0.794,NYC H+H,686.078090949277,163.4311938267966,38.99808463974178,9.0012464932741,0,0
1639,MOUNT SINAI HOSPITAL OF QUEENS (1639),MOUNT SINAI HEALTH SYSTEM,157,7,31.71399999999999,1.4419999999999997,0.798,0.794,MOUNT SINAI HEALTH SYSTEM,684.6213359533575,33.05726264310266,29.592581049300883,1.4420000000000002,0,21
1437,NYP: LOWER MANHATTAN (1437),NEW YORK - PRESBYTERIAN,147,20,29.693999999999996,4.119999999999999,0.798,0.794,NEW YORK - PRESBYTERIAN,643.8956699932687,84.56526004520197,28.155932920165295,4.119999999999999,0,6
10139,NYP: KOCH CENTER (10139),NEW YORK - PRESBYTERIAN,181,0,36.56199999999999,0.0,0.798,0.794,NEW YORK - PRESBYTERIAN,641.9803559997681,0.0,34.853477972981366,0.0,0,0
1164,BRONXCARE CENTER FULTON MANDY (1164),INDEPENDENT,143,0,28.885999999999996,0.0,0.798,0.794,BRONXCARE CENTER FULTON MANDY (1164),615.664533756413,0.0,26.047396648068528,0.0,0,0
1293,MAIMONIDES MIDWOOD COMMUNITY (1293),MAIMONIDES HEALTH,120,6,24.239999999999995,1.2359999999999998,0.798,0.794,MAIMONIDES HEALTH,535.6519655847737,28.493306724216403,24.2227841449514,1.2359999999999998,0,21
1737,STATEN ISLAND UNIVERSITY: SOUTH (1737),NORTHWELL HEALTH,130,16,26.259999999999994,3.2959999999999994,0.798,0.794,NORTHWELL HEALTH,485.77249668259014,60.85651037104901,24.066152348821443,3.085150363246804,0,0
