day,bed_type,zip_code,from_facility_pfi,to_facility_pfi,patients,rank
194,icu,10022,10139,1458,0.004013838647677608,1
194,icu,10031,1445,1464,0.009150026061244414,1
194,icu,10037,1445,1172,0.0027742826920565252,1
194,icu,10065,10139,1458,0.003650793019576589,1
194,icu,10456,1164,1178,0.01594786266716176,1
194,icu,10459,1164,1178,0.007733128081879574,1
195,icu,10030,1445,1172,0.004669954752427486,1
195,icu,10022,10139,1458,0.0038651825102911075,1
195,icu,10031,1445,1464,0.008811146586844659,1
195,icu,10037,1445,1172,0.0026715346283649345,1
195,icu,10065,10139,1458,0.0035155826047279836,1
195,icu,10456,1164,1178,0.015357219178031383,1
195,icu,10459,1164,1178,0.007446724703100899,1
196,icu,10030,1445,1172,0.004496786741999024,1
196,icu,10022,10139,1458,0.0037218565037806417,1
196,icu,10031,1445,1464,0.008484417784334465,1
196,icu,10037,1445,1172,0.002572470641472081,1
196,icu,10065,10139,1458,0.0033852202184883303,1
196,icu,10456,1164,1178,0.014787753469741352,1
196,icu,10459,1164,1178,0.0071705904428333534,1
197,icu,10030,1445,1172,0.004329871735996555,1
197,icu,10022,10139,1458,0.003583705922863231,1
197,icu,10031,1445,1464,0.008169486984487353,1
197,icu,10037,1445,1172,0.002476983802269293,1
197,icu,10065,10139,1458,0.003259565148433246,1
197,icu,10456,1164,1178,0.01423885086421827,1
197,icu,10459,1164,1178,0.006904427243313976,1
198,icu,10030,1445,1172,0.004168977595654572,1
198,icu,10022,10139,1458,0.00345053863319412,1
198,icu,10031,1445,1464,0.00786591619404647,1
198,icu,10037,1445,1172,0.002384941311450473,1
198,icu,10065,10139,1458,0.0031384426384785374,1
198,icu,10456,1164,1178,0.013709747969504272,1
198,icu,10459,1164,1178,0.006647864935328867,1
199,icu,10030,1445,1172,0.004013888075353815,1
199,icu,10022,10139,1458,0.0033221756547125144,1
199,icu,10031,1445,1464,0.007573297406521163,1
199,icu,10037,1445,1172,0.0022962194616799572,1
199,icu,10065,10139,1458,0.003021689897038906,1
199,icu,10456,1164,1178,0.013199733658501281,1
199,icu,10459,1164,1178,0.006400558692925689,1
200,icu,10030,1445,1172,0.003864432930280763,1
200,icu,10022,10139,1458,0.0031984760808549508,1
200,icu,10031,1445,1464,0.007291309408519193,1
200,icu,10037,1445,1172,0.002210720861240109,1
200,icu,10065,10139,1458,0.0029091787623361978,1
200,icu,10456,1164,1178,0.0127082480784797,1
200,icu,10459,1164,1178,0.006162237043183256,1
201,icu,10030,1445,1172,0.0037204111092508933,1
201,icu,10022,10139,1458,0.0030792735075418865,1
201,icu,10031,1445,1464,0.007019572862005792,1
201,icu,10037,1445,1172,0.0021283304950547683,1
201,icu,10065,10139,1458,0.002800757881287903,1
201,icu,10456,1164,1178,0.012234630069477533,1
201,icu,10459,1164,1178,0.0059325793892432005,1
202,icu,10030,1445,1172,0.0035816142797555927,1
202,icu,10022,10139,1458,0.002964395504158615,1
202,icu,10031,1445,1464,0.006757694690737286,1
202,icu,10037,1445,1172,0.002048929182630657,1
202,icu,10065,10139,1458,0.002696270419367328,1
202,icu,10456,1164,1178,0.011778194526784707,1
202,icu,10459,1164,1178,0.005711253523424592,1
203,icu,10030,1445,1172,0.00344788162287536,1
203,icu,10022,10139,1458,0.0028537089656735155,1
203,icu,10031,1445,1464,0.0065053714658479195,1
203,icu,10037,1445,1172,0.00197242492450844,1
203,icu,10065,10139,1458,0.0025955953106914223,1
203,icu,10456,1164,1178,0.01133841259487142,1
203,icu,10459,1164,1178,0.0054980030033668385,1
204,icu,10030,1445,1172,0.003319047481637831,1
204,icu,10022,10139,1458,0.002747076782742659,1
204,icu,10031,1445,1464,0.0062622906301622976,1
204,icu,10037,1445,1172,0.0018987229535304968,1
204,icu,10065,10139,1458,0.0024986078472488075,1
204,icu,10456,1164,1178,0.010914739508195425,1
204,icu,10459,1164,1178,0.005292563671934859,1
205,icu,10030,1445,1172,0.0031949144055028436,1
205,icu,10022,10139,1458,0.0026443355314326364,1
205,icu,10031,1445,1464,0.0060280796392457835,1
205,icu,10037,1445,1172,0.00182771031443636,1
205,icu,10065,10139,1458,0.0024051593865534035,1
205,icu,10456,1164,1178,0.010506525947569954,1
205,icu,10459,1164,1178,0.005094620673869232,1
206,icu,10030,1445,1172,0.0030753225367455,1
206,icu,10022,10139,1458,0.002545352902263984,1
206,icu,10031,1445,1464,0.005802436877789069,1
206,icu,10037,1445,1172,0.0017592955576359775,1
206,icu,10065,10139,1458,0.0023151295863178267,1
206,icu,10456,1164,1178,0.01011324621836868,1
206,icu,10459,1164,1178,0.004903919099533339,1
207,icu,10030,1445,1172,0.0029601366767103223,1
207,icu,10022,10139,1458,0.0024500169953348256,1
207,icu,10031,1445,1464,0.005585107256560051,1
207,icu,10037,1445,1172,0.0016934013402194134,1
207,icu,10065,10139,1458,0.0022284166678168908,1
207,icu,10456,1164,1178,0.009734455717700388,1
207,icu,10459,1164,1178,0.004720243360721092,1
208,icu,10030,1445,1172,0.002849184077269177,1
208,icu,10022,10139,1458,0.0023581848321627247,1
208,icu,10031,1445,1464,0.00537576483897898,1
208,icu,10037,1445,1172,0.0016299288384012654,1
208,icu,10065,10139,1458,0.0021448905847554047,1
208,icu,10456,1164,1178,0.009369586360646283,1
208,icu,10459,1164,1178,0.004543317992717869,1
209,icu,10030,1445,1172,0.0027423012326284243,1
209,icu,10022,10139,1458,0.002269721083870334,1
209,icu,10031,1445,1464,0.005174101126657338,1
209,icu,10037,1445,1172,0.0015687845156457838,1
209,icu,10065,10139,1458,0.0020644282485480668,1
209,icu,10456,1164,1178,0.009018100455848962,1
209,icu,10459,1164,1178,0.004372882268665027,1
210,icu,10030,1445,1172,0.0026393652543912453,1
210,icu,10022,10139,1458,0.0021845240393903553,1
210,icu,10031,1445,1464,0.004979884257032084,1
210,icu,10037,1445,1172,0.0015098980713558689,1
210,icu,10065,10139,1458,0.0019869371477396107,1
210,icu,10456,1164,1178,0.008679593882895185,1
210,icu,10459,1164,1178,0.004208740230334096,1
211,icu,10030,1445,1172,0.0025402422269165705,1
211,icu,10022,10139,1458,0.002102482860733739,1
211,icu,10031,1445,1464,0.004792861561628624,1
211,icu,10037,1445,1172,0.001453192896593884,1
211,icu,10065,10139,1458,0.00191231646946927,1
211,icu,10456,1164,1178,0.008353626258106674,1
211,icu,10459,1164,1178,0.004050678335417853,1
212,icu,10030,1445,1172,0.0024447718766984444,1
212,icu,10022,10139,1458,0.002023464894291419,1
212,icu,10031,1445,1464,0.004612730640652989,1
212,icu,10037,1445,1172,0.001398577303914475,1
212,icu,10065,10139,1458,0.00184044555844606,1
